# mesh name: gammaMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
5,22,0,99539812.54183207,696437286936695.4,78
5,23,0,85546896.16082865,501661867085850.2,79
5,24,0,93385131.76739171,456101826012493.5,85
5,25,0,110490971.2906747,395920935462828.1,89
5,26,0,79980150.80284546,239466721297403.8,89
5,27,0,92377908.59252781,461601357038165.6,84
5,28,0,105238952.2638744,641406242681472.8,79
5,29,0,75189398.58932938,215404768386353.2,86
5,30,0,101198850.7980377,441364806689810.8,80
5,31,0,58442617.4869274,130454754729631.9,88
5,32,0,117488000.3637718,489956422619249.4,92
5,33,0,140760970.5418596,651379582450901,91
5,34,0,108746594.2997743,456918936124598.1,92
5,35,0,104037845.8810917,373675386513804.4,96
5,36,0,101303443.5219184,362755664537944.4,86
5,37,0,107894745.7273518,665932921678515.5,80
5,38,0,77276885.60616921,223819076697765,94
5,39,0,96235685.050478,340619109047901.6,85
5,40,0,85626014.69737031,335832144322604.1,91
5,41,0,113226081.2596361,522100535948125.2,110
5,42,0,116686640.9754023,436240626587917.8,106
5,43,0,92868436.2839601,416979854877653.2,99
5,44,0,91249837.58692585,322863118007751.6,93
5,45,0,95813893.15913075,367451260524060.4,107
5,46,0,115951495.0132405,522164342704418.9,105
5,47,0,82313628.05381891,246563605296645.3,91
5,48,0,70487631.00355335,195562753778875.6,97
5,49,0,121440673.2391601,623735807337089,100
5,50,0,85630593.85119268,260521597515850.4,93
5,51,0,94410019.24622104,314362010354836.6,98
5,52,0,99205956.74323463,322171312610453.1,106
5,53,0,133362911.4591258,620401414270282.6,99
5,54,0,103608671.2041997,382418288306759.5,83
5,55,0,101271637.7738749,307650387774651.6,95
5,56,0,124902671.7310322,520685211633585.6,105
5,57,0,101956619.3201881,353213358835577.4,104
5,58,0,111453940.2880996,636546746432624.2,85
5,59,0,112701147.9997651,499935203407084.2,89
5,60,0,98326009.22412418,391392200982901.7,111
5,61,0,124630452.6723598,571820527371788.2,101
5,62,0,91765189.22489983,370512041522047.4,83
5,63,0,68253448.52870333,183108203906110,83
5,64,0,66665500.71086866,496804437483178.4,82
5,65,0,66690475.45563959,225319162070958.1,70
5,66,0,97304567.00552884,498738479341627.8,89
5,67,0,65725957.41708604,270666433037132.5,78
5,68,0,62082933.77820538,124048989989101.9,97
5,69,0,102895697.9662552,326206808755013.8,95
5,70,0,108065984.4741199,505846376513910.3,92
5,71,0,108780112.2647898,333769970096798.1,97
5,72,0,106934710.9139459,504408683868816.4,94
5,73,0,72277253.37826413,212216901506320.2,86
5,74,0,106986270.2269817,615756853507941.1,55
6,0,0,72357694.19734484,234442656482468.8,52
6,1,0,83181896.97392166,370891760830811.9,70
6,2,0,124765631.6876818,615819304103796.9,107
6,3,0,93434295.87843548,452122538201311.9,72
6,4,0,98390415.32352757,384653935726018.4,87
6,5,0,102236909.1431598,365883009526765.6,89
6,6,0,85683055.47684355,295090417038626.2,87
6,7,0,128440864.9579769,488717413618991.2,108
6,8,0,97938920.42205095,429187208947326.6,86
6,9,0,95062439.9350569,508931870676380.4,67
