# mesh name: gammaMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
1,58,0,89999036.85801457,316564371923701.1,43
1,59,0,107482073.2477389,403637268598158.6,50
1,60,0,83185442.61629245,303383260002984,37
1,61,0,74033074.91263811,296397020835570.8,35
1,62,0,97270167.949183,355980324978068.8,55
1,63,0,76432458.9969123,277059527229851.8,37
1,64,0,50285147.35541012,182279868885056.1,24
1,65,0,66529539.84498844,228122256942489.6,29
1,66,0,87831905.29576835,337003650792592.8,36
1,67,0,121621126.2699933,481687467774385.8,49
1,68,0,115863021.2684768,453232023077560.5,48
1,69,0,72920932.68538263,273298258388357.2,36
1,70,0,87016333.8865431,324655293988810.4,38
1,71,0,76495365.57722345,284860086785064.9,43
1,72,0,91041427.59081519,321374354003120.8,46
1,73,0,53861193.93540287,187091847949532.4,29
1,74,0,51670579.8538298,186639201081825.8,25
2,0,0,77708329.73938753,300481233338425.9,31
2,1,0,97899219.15928313,330368806701106.6,47
2,2,0,103660030.7564712,377920677617522.3,44
2,3,0,97040530.9265621,370434239862285.2,48
2,4,0,111048432.4169027,421450051245798.8,55
2,5,0,96491794.28875828,350301294257093.2,47
2,6,0,136362161.4707949,521818448747688.8,55
2,7,0,111436910.9238916,424324102966347.8,53
2,8,0,71665720.93526104,245235776667087.1,42
2,9,0,100405602.4014986,358088832695709.8,44
2,10,0,88835324.82954474,315613857688779.6,55
2,11,0,122518714.1052407,459776290955382.6,53
2,12,0,91929944.81734791,352162274580242.4,39
2,13,0,67831279.75282288,232478184601035.3,42
2,14,0,91318226.83050416,335293841424202.9,41
2,15,0,98249918.95364301,337464594274850.9,47
2,16,0,81639711.79861069,295167375403205.6,44
2,17,0,92355721.95414157,325072112439254,48
2,18,0,94135405.78232174,352400700051926.9,43
2,19,0,77778296.60153911,272275671527635.5,39
2,20,0,108234881.5977518,376360399354478.5,56
2,21,0,96734296.83826476,369182140731583.8,45
2,22,0,77131597.65830733,254480288199306.7,43
2,23,0,77748391.14218892,274264566558570.5,43
2,24,0,86050649.169227,321492212027529.8,45
2,25,0,101507597.5860209,388546248585958.1,48
2,26,0,61995685.44421509,217942594025060.6,36
2,27,0,80803479.43249196,302353182141327.3,39
2,28,0,72357443.86846016,268215844820842.4,40
2,29,0,82800245.34104125,284804333260830.6,48
2,30,0,118122970.3252221,418302651799135.9,59
2,31,0,82114423.0947261,305928325230601.8,43
2,32,0,94809988.92436603,364260558227177.1,46
2,33,0,82212080.57891187,281180477452498.9,46
2,34,0,99654263.21186922,384927290549240.1,42
2,35,0,98366941.0982293,373092187414986.1,43
2,36,0,86446169.29582419,321554847568262,44
2,37,0,85027167.79026942,294467643775881.2,45
2,38,0,90792116.75879031,320532935277656.8,50
2,39,0,110435537.7887261,414440498908928.3,43
2,40,0,93844270.3798009,324371997055760.5,47
2,41,0,58860537.555024,195915753978075.6,37
2,42,0,90052882.97452362,307373190771068.1,46
2,43,0,102196828.7721276,365677046357644.6,49
2,44,0,113006373.3935684,434130356743398,48
2,45,0,105647909.0647355,364836802044943.6,60
2,46,0,119084504.275394,433135546845730.1,54
2,47,0,113807969.3683054,434409618686648.9,49
2,48,0,83891568.15648879,327592079738423.4,37
2,49,0,89816117.62453625,340181501352927.5,38
2,50,0,94695332.06906198,356768248785270,47
2,51,0,96104221.75393191,385982911115480.7,44
2,52,0,84549973.5537407,332338628052173.1,34
2,53,0,109802644.3201934,418640936975468.8,50
2,54,0,98900113.07461202,340706232858928.9,48
2,55,0,102016932.7585455,368524244792511.1,51
2,56,0,83029136.41980346,307811407773466.9,43
2,57,0,91767890.01468021,337704150322100.2,46
2,58,0,108271954.5113243,421600179681880.7,50
2,59,0,86349100.32867198,298289397852266.8,56
2,60,0,103908087.0614236,377338417649775.8,45
2,61,0,98453339.07251532,339344380966707.2,43
2,62,0,56285235.15988629,195119964215032.6,31
2,63,0,73116559.24495076,271553204925462,39
2,64,0,72958571.84094863,283285392572270.4,39
2,65,0,72172442.64012904,280666792835918.6,36
2,66,0,116044450.1446146,428532881606098.2,56
2,67,0,75473362.31279671,274315000193971,44
2,68,0,80460881.78131945,268193956798954.2,47
2,69,0,67248372.00451462,236309043917905.5,37
2,70,0,59895488.96877871,210222345249809.8,33
2,71,0,101813510.5857981,383124204063987.3,53
2,72,0,94984750.67160693,322479602949394.7,54
2,73,0,97434940.9652147,344681930437148.2,49
2,74,0,99072683.97726741,398010637406923.2,36
3,0,0,82051765.45228164,327600970090853.1,36
3,1,0,95749450.86409959,373120251858508.8,36
3,2,0,118968940.1018516,459656682672763,53
3,3,0,89448938.93424082,304306846454098.4,51
3,4,0,95018908.34808181,354703016994115.9,49
3,5,0,107184186.0198643,416707177227323.6,40
3,6,0,100506204.6229096,372196539129608.3,50
3,7,0,74188247.62521657,245762971272266.9,45
3,8,0,75635670.94695482,262909373811914.7,40
3,9,0,79343003.73382562,309114238426752.3,41
3,10,0,93418452.11411858,331408653357130,47
3,11,0,74383834.56009613,275651714210008.8,33
3,12,0,77522886.41183637,283464134601863.9,38
3,13,0,97075967.90556084,372778119122978.4,48
3,14,0,84800937.49728787,314875686061791.6,42
3,15,0,59887203.80546786,204189592872769.8,40
3,16,0,94146491.96173155,327082660721494.2,50
3,17,0,81524278.48818056,293946536669303.1,45
3,18,0,69270766.34293835,245938556610154.2,36
3,19,0,88304405.79166634,346546603195411,34
3,20,0,84382985.30130412,312773957657198.3,39
3,21,0,66606707.10469532,243484390851578.1,37
3,22,0,107329903.7943376,386423193882426,50
3,23,0,74147628.58521634,280234436965258.6,35
3,24,0,70060726.32159638,245355522033010.1,34
3,25,0,99085125.22419876,390813435529535.5,37
3,26,0,69955738.41583656,255742927974110.2,35
3,27,0,94664653.73938861,350535050891374.2,39
