# mesh name: gammaMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
4,74,0,29735938.02460577,69168457154904.53,41
5,0,0,33145536.61493838,57034967995134.37,45
5,1,0,25584418.59425202,27752228686200.86,57
5,2,0,58974635.50248376,137613243375714,66
5,3,0,65564655.59244126,303425853545738.2,62
5,4,0,45666070.73300391,74923335660075.91,66
5,5,0,46616079.05104886,94731373135140.62,65
5,6,0,31458396.9212788,39060755768657.41,69
5,7,0,50225255.84153286,205083936260138.2,58
5,8,0,33884365.28183952,60010321550123.77,64
5,9,0,36573729.00646762,46504532048234.23,79
5,10,0,39510743.19533214,63448004096164.08,53
5,11,0,46809308.59573726,80872783987765.11,69
5,12,0,41193990.11198413,67966680769001.3,59
5,13,0,39142704.14042892,84575000885772.27,56
5,14,0,59193265.66297778,314201634097643,56
5,15,0,47124298.59721241,94297485160845.8,59
5,16,0,22983083.10853837,30545735284299.12,53
5,17,0,34182829.54403202,47902680098850.96,59
5,18,0,44929276.60982358,107452736588478,66
5,19,0,28928707.74988446,35752496422485.26,56
5,20,0,32142818.30071031,49583186096006.37,55
5,21,0,44592310.85160811,84134777752860.89,60
5,22,0,29215979.16047006,59037181802653.21,55
5,23,0,17889773.68552813,25678467564222.82,48
5,24,0,31347532.36568801,66882527149328.69,48
5,25,0,43048441.0570048,59533199534499.49,65
5,26,0,38465894.72764416,58104868434836.79,59
5,27,0,52013597.9806515,93715639403894.91,67
5,28,0,28200353.20591415,44311274005328.36,54
5,29,0,53697275.80859715,134429822052161.5,70
5,30,0,38663931.43976285,87153995864634.45,59
5,31,0,45555610.8152712,64087306807778.94,68
5,32,0,41419170.5972691,63401936619992.24,58
5,33,0,37429136.99879021,54544252783184.84,66
5,34,0,37198707.70788997,82999037653303.42,63
5,35,0,31278502.55593972,38947170267411.18,60
5,36,0,42997890.75023381,97851776106447.97,63
5,37,0,32625195.04501528,54926157642770.66,53
5,38,0,32549683.61401241,51718655742511.47,55
5,39,0,41006319.21915753,89659060661033.45,61
5,40,0,43379316.05027509,81384485088263.62,60
5,41,0,56342406.82423615,182313748524541.4,76
5,42,0,42893709.45536695,79131838718616.81,72
5,43,0,44832235.34150907,77401156856807.8,73
5,44,0,49185325.32883302,118155279029373.7,63
5,45,0,44577712.11081756,87041633651981.08,70
5,46,0,33691656.29730999,51539130339088.48,62
5,47,0,56339367.16267446,318514982727695.3,68
